"GEO_ID","NAME","B25077_001E","B25077_001EA","B25077_001M","B25077_001MA",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Annotation of Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)","Annotation of Margin of Error!!Median value (dollars)",
"1400000US17031161100","Census Tract 1611, Cook County, Illinois","443300","null","67553","null",
"1400000US17031161200","Census Tract 1612, Cook County, Illinois","255600","null","12842","null",
"1400000US17031161300","Census Tract 1613, Cook County, Illinois","258900","null","28453","null",
"1400000US17031170100","Census Tract 1701, Cook County, Illinois","162500","null","15049","null",
"1400000US17031170200","Census Tract 1702, Cook County, Illinois","254600","null","14206","null",
"1400000US17031170300","Census Tract 1703, Cook County, Illinois","227300","null","9400","null",
"1400000US17031170400","Census Tract 1704, Cook County, Illinois","234700","null","11117","null",
"1400000US17031170500","Census Tract 1705, Cook County, Illinois","236300","null","12394","null",
"1400000US17031170600","Census Tract 1706, Cook County, Illinois","252100","null","10592","null",
"1400000US17031170700","Census Tract 1707, Cook County, Illinois","231200","null","14728","null",
"1400000US17031170800","Census Tract 1708, Cook County, Illinois","249700","null","16074","null",
"1400000US17031170900","Census Tract 1709, Cook County, Illinois","228500","null","10531","null",
"1400000US17031171000","Census Tract 1710, Cook County, Illinois","261500","null","15086","null",
"1400000US17031171100","Census Tract 1711, Cook County, Illinois","251900","null","15468","null",
"1400000US17031180100","Census Tract 1801, Cook County, Illinois","221900","null","10744","null",
"1400000US17031190100","Census Tract 1901, Cook County, Illinois","222200","null","17282","null",
"1400000US17031190200","Census Tract 1902, Cook County, Illinois","249900","null","14121","null",
"1400000US17031190300","Census Tract 1903, Cook County, Illinois","232800","null","19418","null",
"1400000US17031190401","Census Tract 1904.01, Cook County, Illinois","228600","null","13350","null",
"1400000US17031190402","Census Tract 1904.02, Cook County, Illinois","251300","null","25523","null",
"1400000US17031190601","Census Tract 1906.01, Cook County, Illinois","199100","null","22381","null",
"1400000US17031190602","Census Tract 1906.02, Cook County, Illinois","204500","null","19127","null",
"1400000US17031190701","Census Tract 1907.01, Cook County, Illinois","239600","null","20876","null",
"1400000US17031190702","Census Tract 1907.02, Cook County, Illinois","184300","null","25853","null",
"1400000US17031190800","Census Tract 1908, Cook County, Illinois","235400","null","19336","null",
"1400000US17031190900","Census Tract 1909, Cook County, Illinois","257700","null","60027","null",
"1400000US17031191000","Census Tract 1910, Cook County, Illinois","214200","null","26770","null",
"1400000US17031191100","Census Tract 1911, Cook County, Illinois","199900","null","20445","null",
"1400000US17031191200","Census Tract 1912, Cook County, Illinois","210400","null","48381","null",
"1400000US17031191301","Census Tract 1913.01, Cook County, Illinois","212900","null","25747","null",
"1400000US17031191302","Census Tract 1913.02, Cook County, Illinois","207200","null","22912","null",
"1400000US17031200100","Census Tract 2001, Cook County, Illinois","235600","null","13299","null",
"1400000US17031200200","Census Tract 2002, Cook County, Illinois","255000","null","28190","null",
"1400000US17031200300","Census Tract 2003, Cook County, Illinois","173700","null","34057","null",
"1400000US17031200401","Census Tract 2004.01, Cook County, Illinois","224600","null","20170","null",
"1400000US17031200402","Census Tract 2004.02, Cook County, Illinois","265000","null","26702","null",
"1400000US17031210100","Census Tract 2101, Cook County, Illinois","303200","null","28806","null",
"1400000US17031210400","Census Tract 2104, Cook County, Illinois","258700","null","17651","null",
"1400000US17031210501","Census Tract 2105.01, Cook County, Illinois","302600","null","48934","null",
"1400000US17031210502","Census Tract 2105.02, Cook County, Illinois","248500","null","29812","null",
"1400000US17031210601","Census Tract 2106.01, Cook County, Illinois","276600","null","55857","null",
"1400000US17031210602","Census Tract 2106.02, Cook County, Illinois","285900","null","28508","null",
"1400000US17031210700","Census Tract 2107, Cook County, Illinois","324800","null","42306","null",
"1400000US17031210800","Census Tract 2108, Cook County, Illinois","373500","null","106587","null",
"1400000US17031210900","Census Tract 2109, Cook County, Illinois","329700","null","33900","null",
"1400000US17031220300","Census Tract 2203, Cook County, Illinois","402200","null","44984","null",
"1400000US17031220400","Census Tract 2204, Cook County, Illinois","379200","null","50731","null",
"1400000US17031220500","Census Tract 2205, Cook County, Illinois","327400","null","26795","null",
"1400000US17031220601","Census Tract 2206.01, Cook County, Illinois","443200","null","40644","null",
"1400000US17031220602","Census Tract 2206.02, Cook County, Illinois","366400","null","61237","null",
"1400000US17031220701","Census Tract 2207.01, Cook County, Illinois","272000","null","105073","null",
"1400000US17031220702","Census Tract 2207.02, Cook County, Illinois","345100","null","63434","null",
"1400000US17031220901","Census Tract 2209.01, Cook County, Illinois","233300","null","99725","null",
"1400000US17031220902","Census Tract 2209.02, Cook County, Illinois","261100","null","17856","null",
"1400000US17031221000","Census Tract 2210, Cook County, Illinois","285600","null","15892","null",
"1400000US17031221100","Census Tract 2211, Cook County, Illinois","311600","null","40689","null",
"1400000US17031221200","Census Tract 2212, Cook County, Illinois","346900","null","26474","null",
"1400000US17031221300","Census Tract 2213, Cook County, Illinois","370500","null","77425","null",
"1400000US17031221400","Census Tract 2214, Cook County, Illinois","338400","null","46399","null",
"1400000US17031221500","Census Tract 2215, Cook County, Illinois","462500","null","49525","null",
"1400000US17031221600","Census Tract 2216, Cook County, Illinois","577800","null","85226","null",
"1400000US17031222200","Census Tract 2222, Cook County, Illinois","534100","null","62402","null",
"1400000US17031222500","Census Tract 2225, Cook County, Illinois","282600","null","30585","null",
"1400000US17031222600","Census Tract 2226, Cook County, Illinois","361300","null","33140","null",
"1400000US17031222700","Census Tract 2227, Cook County, Illinois","261200","null","31519","null",
"1400000US17031222800","Census Tract 2228, Cook County, Illinois","237000","null","32607","null",
"1400000US17031222900","Census Tract 2229, Cook County, Illinois","255200","null","47107","null",
"1400000US17031230100","Census Tract 2301, Cook County, Illinois","364400","null","40739","null",
"1400000US17031230200","Census Tract 2302, Cook County, Illinois","247600","null","35005","null",
"1400000US17031230300","Census Tract 2303, Cook County, Illinois","186000","null","56612","null",
"1400000US17031230400","Census Tract 2304, Cook County, Illinois","180600","null","42618","null",
"1400000US17031230500","Census Tract 2305, Cook County, Illinois","123100","null","43792","null",
"1400000US17031230600","Census Tract 2306, Cook County, Illinois","154300","null","22507","null",
"1400000US17031230700","Census Tract 2307, Cook County, Illinois","144500","null","24657","null",
"1400000US17031230800","Census Tract 2308, Cook County, Illinois","201800","null","19822","null",
"1400000US17031230900","Census Tract 2309, Cook County, Illinois","235900","null","23147","null",
"1400000US17031231100","Census Tract 2311, Cook County, Illinois","160700","null","20254","null",
"1400000US17031231200","Census Tract 2312, Cook County, Illinois","162600","null","13068","null",
"1400000US17031231500","Census Tract 2315, Cook County, Illinois","181900","null","39046","null",
"1400000US17031240200","Census Tract 2402, Cook County, Illinois","647300","null","117938","null",
"1400000US17031240300","Census Tract 2403, Cook County, Illinois","678600","null","131736","null",
"1400000US17031240500","Census Tract 2405, Cook County, Illinois","374100","null","14343","null",
"1400000US17031240600","Census Tract 2406, Cook County, Illinois","409200","null","73076","null",
"1400000US17031240700","Census Tract 2407, Cook County, Illinois","310000","null","52625","null",
"1400000US17031240800","Census Tract 2408, Cook County, Illinois","348400","null","81721","null",
"1400000US17031240900","Census Tract 2409, Cook County, Illinois","335400","null","33963","null",
"1400000US17031241000","Census Tract 2410, Cook County, Illinois","251400","null","56766","null",
"1400000US17031241100","Census Tract 2411, Cook County, Illinois","337800","null","34281","null",
"1400000US17031241200","Census Tract 2412, Cook County, Illinois","596900","null","79955","null",
"1400000US17031241300","Census Tract 2413, Cook County, Illinois","555700","null","70294","null",
"1400000US17031241400","Census Tract 2414, Cook County, Illinois","514900","null","112950","null",
"1400000US17031241500","Census Tract 2415, Cook County, Illinois","461600","null","113446","null",
"1400000US17031241600","Census Tract 2416, Cook County, Illinois","425700","null","49110","null",
"1400000US17031242000","Census Tract 2420, Cook County, Illinois","457300","null","39974","null",
"1400000US17031242100","Census Tract 2421, Cook County, Illinois","519700","null","48830","null",
"1400000US17031242200","Census Tract 2422, Cook County, Illinois","499600","null","55449","null",
"1400000US17031242300","Census Tract 2423, Cook County, Illinois","446300","null","62755","null",
"1400000US17031242400","Census Tract 2424, Cook County, Illinois","428400","null","98180","null",
"1400000US17031242500","Census Tract 2425, Cook County, Illinois","365900","null","49188","null",
"1400000US17031242600","Census Tract 2426, Cook County, Illinois","395600","null","54447","null",
"1400000US17031242700","Census Tract 2427, Cook County, Illinois","298600","null","127769","null",
"1400000US17031242800","Census Tract 2428, Cook County, Illinois","392700","null","56837","null",
"1400000US17031242900","Census Tract 2429, Cook County, Illinois","430200","null","50350","null",
"1400000US17031243000","Census Tract 2430, Cook County, Illinois","378300","null","42586","null",
"1400000US17031243100","Census Tract 2431, Cook County, Illinois","382000","null","22423","null",
"1400000US17031243200","Census Tract 2432, Cook County, Illinois","532100","null","76076","null",
"1400000US17031243300","Census Tract 2433, Cook County, Illinois","401900","null","47439","null",
"1400000US17031243400","Census Tract 2434, Cook County, Illinois","347600","null","19381","null",
"1400000US17031243500","Census Tract 2435, Cook County, Illinois","390000","null","31648","null",
"1400000US17031250200","Census Tract 2502, Cook County, Illinois","176000","null","19010","null",
"1400000US17031250300","Census Tract 2503, Cook County, Illinois","174500","null","18050","null",
"1400000US17031250400","Census Tract 2504, Cook County, Illinois","151500","null","46959","null",
"1400000US17031250500","Census Tract 2505, Cook County, Illinois","257100","null","20455","null",
"1400000US17031250600","Census Tract 2506, Cook County, Illinois","176000","null","20840","null",
"1400000US17031250700","Census Tract 2507, Cook County, Illinois","154600","null","19422","null",
"1400000US17031250800","Census Tract 2508, Cook County, Illinois","160000","null","8133","null",
"1400000US17031251000","Census Tract 2510, Cook County, Illinois","146100","null","17334","null",
"1400000US17031251100","Census Tract 2511, Cook County, Illinois","122100","null","27943","null",
"1400000US17031251200","Census Tract 2512, Cook County, Illinois","117900","null","24430","null",
"1400000US17031251300","Census Tract 2513, Cook County, Illinois","136700","null","7842","null",
"1400000US17031251400","Census Tract 2514, Cook County, Illinois","202500","null","34363","null",
"1400000US17031251500","Census Tract 2515, Cook County, Illinois","144400","null","53423","null",
"1400000US17031251600","Census Tract 2516, Cook County, Illinois","98800","null","22969","null",
"1400000US17031251700","Census Tract 2517, Cook County, Illinois","136200","null","34830","null",
"1400000US17031251800","Census Tract 2518, Cook County, Illinois","159000","null","35392","null",
"1400000US17031251900","Census Tract 2519, Cook County, Illinois","119300","null","29070","null",
"1400000US17031252000","Census Tract 2520, Cook County, Illinois","201900","null","47857","null",
"1400000US17031252101","Census Tract 2521.01, Cook County, Illinois","174100","null","21867","null",
"1400000US17031252102","Census Tract 2521.02, Cook County, Illinois","133300","null","38828","null",
"1400000US17031252201","Census Tract 2522.01, Cook County, Illinois","96600","null","11803","null",
