"GEO_ID","NAME","B25031_001E","B25031_001EA","B25031_001M","B25031_001MA","B25031_002E","B25031_002EA","B25031_002M","B25031_002MA","B25031_003E","B25031_003EA","B25031_003M","B25031_003MA","B25031_004E","B25031_004EA","B25031_004M","B25031_004MA","B25031_005E","B25031_005EA","B25031_005M","B25031_005MA","B25031_006E","B25031_006EA","B25031_006M","B25031_006MA","B25031_007E","B25031_007M","B25031_007MA","B25031_007EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent!!Total","Annotation of Estimate!!Median gross rent!!Total","Margin of Error!!Median gross rent!!Total","Annotation of Margin of Error!!Median gross rent!!Total","Estimate!!Median gross rent!!Total!!No bedroom","Annotation of Estimate!!Median gross rent!!Total!!No bedroom","Margin of Error!!Median gross rent!!Total!!No bedroom","Annotation of Margin of Error!!Median gross rent!!Total!!No bedroom","Estimate!!Median gross rent!!Total!!1 bedroom","Annotation of Estimate!!Median gross rent!!Total!!1 bedroom","Margin of Error!!Median gross rent!!Total!!1 bedroom","Annotation of Margin of Error!!Median gross rent!!Total!!1 bedroom","Estimate!!Median gross rent!!Total!!2 bedrooms","Annotation of Estimate!!Median gross rent!!Total!!2 bedrooms","Margin of Error!!Median gross rent!!Total!!2 bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!2 bedrooms","Estimate!!Median gross rent!!Total!!3 bedrooms","Annotation of Estimate!!Median gross rent!!Total!!3 bedrooms","Margin of Error!!Median gross rent!!Total!!3 bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!3 bedrooms","Estimate!!Median gross rent!!Total!!4 bedrooms","Annotation of Estimate!!Median gross rent!!Total!!4 bedrooms","Margin of Error!!Median gross rent!!Total!!4 bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!4 bedrooms","Estimate!!Median gross rent!!Total!!5 or more bedrooms","Margin of Error!!Median gross rent!!Total!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent!!Total!!5 or more bedrooms","Annotation of Estimate!!Median gross rent!!Total!!5 or more bedrooms",
"1400000US17031252102","Census Tract 2521.02, Cook County, Illinois","932","null","77","null","-","-","**","**","819","null","102","null","840","null","49","null","1085","null","69","null","-","-","**","**","-","**","**","-",
"1400000US17031252201","Census Tract 2522.01, Cook County, Illinois","852","null","45","null","-","-","**","**","724","null","26","null","859","null","26","null","1037","null","154","null","730","null","696","null","-","**","**","-",
"1400000US17031252202","Census Tract 2522.02, Cook County, Illinois","876","null","93","null","-","-","**","**","541","null","295","null","889","null","142","null","950","null","89","null","952","null","367","null","-","**","**","-",
"1400000US17031260100","Census Tract 2601, Cook County, Illinois","490","null","36","null","468","null","33","null","359","null","287","null","903","null","232","null","1615","null","228","null","-","-","**","**","-","**","**","-",
"1400000US17031260200","Census Tract 2602, Cook County, Illinois","1035","null","95","null","-","-","**","**","-","-","**","**","1008","null","215","null","1073","null","105","null","980","null","203","null","-","**","**","-",
"1400000US17031260300","Census Tract 2603, Cook County, Illinois","834","null","127","null","611","null","30","null","236","null","90","null","728","null","353","null","1168","null","134","null","1147","null","72","null","-","**","**","-",
"1400000US17031260400","Census Tract 2604, Cook County, Illinois","922","null","213","null","-","-","**","**","-","-","**","**","875","null","281","null","1128","null","182","null","-","-","**","**","-","**","**","-",
"1400000US17031260500","Census Tract 2605, Cook County, Illinois","1086","null","92","null","-","-","**","**","-","-","**","**","1052","null","114","null","995","null","261","null","1475","null","357","null","-","**","**","-",
"1400000US17031260600","Census Tract 2606, Cook County, Illinois","937","null","98","null","-","-","**","**","654","null","48","null","792","null","254","null","989","null","108","null","1198","null","154","null","-","**","**","-",
"1400000US17031260700","Census Tract 2607, Cook County, Illinois","923","null","220","null","-","-","**","**","609","null","310","null","944","null","140","null","1118","null","120","null","925","null","428","null","-","**","**","-",
"1400000US17031260800","Census Tract 2608, Cook County, Illinois","845","null","129","null","582","null","33","null","605","null","37","null","721","null","122","null","1161","null","71","null","892","null","340","null","-","**","**","-",
"1400000US17031260900","Census Tract 2609, Cook County, Illinois","913","null","247","null","-","-","**","**","-","-","**","**","720","null","544","null","935","null","190","null","-","-","**","**","-","**","**","-",
"1400000US17031261000","Census Tract 2610, Cook County, Illinois","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null",
"1400000US17031270500","Census Tract 2705, Cook County, Illinois","797","null","92","null","-","-","**","**","249","null","40","null","869","null","51","null","828","null","155","null","1292","null","908","null","-","**","**","-",
"1400000US17031271200","Census Tract 2712, Cook County, Illinois","995","null","85","null","-","-","**","**","1196","null","643","null","998","null","134","null","925","null","149","null","-","-","**","**","-","**","**","-",
