"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_001MA","B25031_001EA","B25031_002E","B25031_002M","B25031_002MA","B25031_002EA","B25031_003E","B25031_003M","B25031_003MA","B25031_003EA","B25031_004E","B25031_004M","B25031_004MA","B25031_004EA","B25031_005E","B25031_005M","B25031_005MA","B25031_005EA","B25031_006E","B25031_006M","B25031_006MA","B25031_006EA","B25031_007E","B25031_007M","B25031_007MA","B25031_007EA",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Annotation of Margin of Error!!Median gross rent --!!Total:","Annotation of Estimate!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!No bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Annotation of Estimate!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms","Annotation of Estimate!!Median gross rent --!!Total:!!5 or more bedrooms",
"1400000US17031060400","Census Tract 604, Cook County, Illinois","1775","150","null","null","1192","137","null","null","1431","98","null","null","2033","180","null","null","2511","538","null","null","2250","1899","null","null","-","**","**","-",
"1400000US17031060500","Census Tract 605, Cook County, Illinois","-","**","**","-","275","188","null","null","335","125","null","null","1833","144","null","null","2000","1194","null","null","-","**","**","-","-","**","**","-",
"1400000US17031060800","Census Tract 608, Cook County, Illinois","1640","66","null","null","1463","177","null","null","1650","70","null","null","1774","260","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031060900","Census Tract 609, Cook County, Illinois","1318","79","null","null","1078","178","null","null","1357","58","null","null","1651","231","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031061000","Census Tract 610, Cook County, Illinois","1810","112","null","null","-","**","**","-","1641","87","null","null","2417","615","null","null","2263","176","null","null","-","**","**","-","-","**","**","-",
"1400000US17031061100","Census Tract 611, Cook County, Illinois","1778","160","null","null","-","**","**","-","1440","150","null","null","1925","178","null","null","2662","290","null","null","3,500+","***","***","3,500+","-","**","**","-",
"1400000US17031061200","Census Tract 612, Cook County, Illinois","1831","105","null","null","1361","272","null","null","1386","43","null","null","1803","78","null","null","2245","194","null","null","2833","408","null","null","2692","171","null","null",
"1400000US17031061500","Census Tract 615, Cook County, Illinois","1884","137","null","null","1181","119","null","null","1592","155","null","null","2006","211","null","null","2258","248","null","null","2250","1408","null","null","-","**","**","-",
"1400000US17031061800","Census Tract 618, Cook County, Illinois","1379","107","null","null","1123","63","null","null","1460","81","null","null","2067","399","null","null","2063","1669","null","null","-","**","**","-","-","**","**","-",
"1400000US17031061901","Census Tract 619.01, Cook County, Illinois","1297","164","null","null","1078","79","null","null","1423","201","null","null","1667","340","null","null","-","**","**","-","-","**","**","-","-","**","**","-",
"1400000US17031061902","Census Tract 619.02, Cook County, Illinois","1575","183","null","null","1222","200","null","null","1443","85","null","null","2341","200","null","null","2169","224","null","null","-","**","**","-","-","**","**","-",
"1400000US17031062000","Census Tract 620, Cook County, Illinois","1626","115","null","null","1114","264","null","null","1371","185","null","null","1783","94","null","null","2321","91","null","null","2079","1856","null","null","-","**","**","-",
"1400000US17031062100","Census Tract 621, Cook County, Illinois","1789","189","null","null","-","**","**","-","1220","316","null","null","1931","186","null","null","3057","851","null","null","3202","414","null","null","-","**","**","-",
"1400000US17031062200","Census Tract 622, Cook County, Illinois","1856","147","null","null","-","**","**","-","1370","137","null","null","1894","135","null","null","2693","257","null","null","-","**","**","-","-","**","**","-",
"1400000US17031062300","Census Tract 623, Cook County, Illinois","2052","158","null","null","-","**","**","-","988","385","null","null","1964","213","null","null","2331","194","null","null","3,500+","***","***","3,500+","-","**","**","-",
"1400000US17031062400","Census Tract 624, Cook County, Illinois","1831","281","null","null","1120","98","null","null","1190","492","null","null","2435","431","null","null","2792","1364","null","null","-","**","**","-","-","**","**","-",
