"GEO_ID","NAME","B25058_001E","B25058_001M","B25058_001MA","B25058_001EA",
"Geography","Geographic Area Name","Estimate!!Median contract rent","Margin of Error!!Median contract rent","Annotation of Margin of Error!!Median contract rent","Annotation of Estimate!!Median contract rent",
"1400000US17031243400","Census Tract 2434, Cook County, Illinois","1520","231","null","null",
"1400000US17031243500","Census Tract 2435, Cook County, Illinois","1881","166","null","null",
"1400000US17031250200","Census Tract 2502, Cook County, Illinois","793","119","null","null",
"1400000US17031250300","Census Tract 2503, Cook County, Illinois","821","50","null","null",
"1400000US17031250400","Census Tract 2504, Cook County, Illinois","857","46","null","null",
"1400000US17031250500","Census Tract 2505, Cook County, Illinois","901","366","null","null",
"1400000US17031250600","Census Tract 2506, Cook County, Illinois","918","58","null","null",
"1400000US17031250700","Census Tract 2507, Cook County, Illinois","783","82","null","null",
"1400000US17031250800","Census Tract 2508, Cook County, Illinois","771","171","null","null",
"1400000US17031251000","Census Tract 2510, Cook County, Illinois","722","135","null","null",
"1400000US17031251100","Census Tract 2511, Cook County, Illinois","752","178","null","null",
"1400000US17031251200","Census Tract 2512, Cook County, Illinois","874","106","null","null",
"1400000US17031251300","Census Tract 2513, Cook County, Illinois","865","79","null","null",
"1400000US17031251400","Census Tract 2514, Cook County, Illinois","672","100","null","null",
"1400000US17031251500","Census Tract 2515, Cook County, Illinois","835","51","null","null",
"1400000US17031251600","Census Tract 2516, Cook County, Illinois","850","70","null","null",
"1400000US17031251700","Census Tract 2517, Cook County, Illinois","963","136","null","null",
"1400000US17031251800","Census Tract 2518, Cook County, Illinois","775","32","null","null",
"1400000US17031251900","Census Tract 2519, Cook County, Illinois","740","59","null","null",
"1400000US17031252000","Census Tract 2520, Cook County, Illinois","777","23","null","null",
"1400000US17031252101","Census Tract 2521.01, Cook County, Illinois","748","92","null","null",
"1400000US17031252102","Census Tract 2521.02, Cook County, Illinois","825","88","null","null",
"1400000US17031252201","Census Tract 2522.01, Cook County, Illinois","788","40","null","null",
"1400000US17031252202","Census Tract 2522.02, Cook County, Illinois","802","112","null","null",
"1400000US17031260100","Census Tract 2601, Cook County, Illinois","555","35","null","null",
"1400000US17031260200","Census Tract 2602, Cook County, Illinois","847","71","null","null",
"1400000US17031260300","Census Tract 2603, Cook County, Illinois","832","150","null","null",
"1400000US17031260400","Census Tract 2604, Cook County, Illinois","838","245","null","null",
"1400000US17031260500","Census Tract 2605, Cook County, Illinois","876","81","null","null",
"1400000US17031260600","Census Tract 2606, Cook County, Illinois","941","82","null","null",
"1400000US17031260700","Census Tract 2607, Cook County, Illinois","763","56","null","null",
"1400000US17031260800","Census Tract 2608, Cook County, Illinois","818","138","null","null",
"1400000US17031260900","Census Tract 2609, Cook County, Illinois","627","80","null","null",
"1400000US17031261000","Census Tract 2610, Cook County, Illinois","813","45","null","null",
"1400000US17031270500","Census Tract 2705, Cook County, Illinois","617","328","null","null",
"1400000US17031271200","Census Tract 2712, Cook County, Illinois","648","156","null","null",
