"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031430600","Census Tract 4306, Cook County, Illinois","1920","null","202","null","98","55","null","null","1759","null","209","null","0","null","11","null","1","4","null","null","0","11","null","null","23","null","34","null","39","null","46","null","0","null","11","null","39","null","46","null",
"1400000US17031430700","Census Tract 4307, Cook County, Illinois","2474","null","342","null","155","82","null","null","2195","null","307","null","45","null","66","null","29","44","null","null","0","11","null","null","29","null","46","null","21","null","24","null","0","null","11","null","21","null","24","null",
"1400000US17031430800","Census Tract 4308, Cook County, Illinois","1756","null","331","null","57","48","null","null","1679","null","340","null","0","null","11","null","0","11","null","null","0","11","null","null","20","null","33","null","0","null","11","null","0","null","11","null","0","null","11","null",
"1400000US17031430900","Census Tract 4309, Cook County, Illinois","1572","null","262","null","1","4","null","null","1558","null","262","null","0","null","11","null","1","3","null","null","0","11","null","null","0","null","11","null","12","null","13","null","0","null","11","null","12","null","13","null",
"1400000US17031431200","Census Tract 4312, Cook County, Illinois","2828","null","314","null","32","29","null","null","2717","null","305","null","0","null","11","null","0","11","null","null","0","11","null","null","0","null","11","null","79","null","61","null","0","null","11","null","79","null","61","null",
"1400000US17031431301","Census Tract 4313.01, Cook County, Illinois","3580","null","566","null","86","49","null","null","3310","null","539","null","0","null","11","null","0","11","null","null","0","11","null","null","160","null","248","null","24","null","22","null","0","null","11","null","24","null","22","null",
"1400000US17031431302","Census Tract 4313.02, Cook County, Illinois","4204","null","729","null","66","58","null","null","4097","null","729","null","0","null","11","null","0","11","null","null","0","11","null","null","33","null","29","null","8","null","12","null","0","null","11","null","8","null","12","null",
"1400000US17031431400","Census Tract 4314, Cook County, Illinois","6979","null","882","null","544","199","null","null","6181","null","883","null","8","null","17","null","21","28","null","null","0","15","null","null","29","null","50","null","196","null","107","null","0","null","15","null","196","null","107","null",
"1400000US17031440101","Census Tract 4401.01, Cook County, Illinois","4105","null","601","null","74","69","null","null","3886","null","595","null","0","null","11","null","58","87","null","null","0","11","null","null","7","null","15","null","80","null","118","null","80","null","118","null","0","null","11","null",
"1400000US17031440102","Census Tract 4401.02, Cook County, Illinois","3266","null","584","null","276","246","null","null","2920","null","614","null","0","null","11","null","0","11","null","null","16","24","null","null","24","null","40","null","30","null","35","null","0","null","11","null","30","null","35","null",
"1400000US17031440201","Census Tract 4402.01, Cook County, Illinois","4890","null","746","null","147","229","null","null","4637","null","722","null","0","null","11","null","0","11","null","null","0","11","null","null","0","null","11","null","106","null","92","null","0","null","11","null","106","null","92","null",
