"GEO_ID","NAME","B02001_001E","B02001_001EA","B02001_001M","B02001_001MA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003EA","B02001_003M","B02001_003MA","B02001_004E","B02001_004EA","B02001_004M","B02001_004MA","B02001_005E","B02001_005EA","B02001_005M","B02001_005MA","B02001_006E","B02001_006EA","B02001_006M","B02001_006MA","B02001_007E","B02001_007M","B02001_007MA","B02001_007EA","B02001_008E","B02001_008EA","B02001_008M","B02001_008MA","B02001_009E","B02001_009EA","B02001_009M","B02001_009MA","B02001_010E","B02001_010EA","B02001_010M","B02001_010MA",
"Geography","Geographic Area Name","Estimate!!Total","Annotation of Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Annotation of Margin of Error!!Total!!White alone","Annotation of Estimate!!Total!!White alone","Estimate!!Total!!Black or African American alone","Annotation of Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Annotation of Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Annotation of Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Annotation of Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Annotation of Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Annotation of Margin of Error!!Total!!Some other race alone","Annotation of Estimate!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Annotation of Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Annotation of Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Annotation of Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Annotation of Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",
"1400000US17031804201","Census Tract 8042.01, Cook County, Illinois","7973","null","355","null","6222","404","null","null","66","null","56","null","13","null","21","null","1466","null","441","null","0","null","16","null","0","16","null","null","206","null","141","null","81","null","89","null","125","null","110","null",
"1400000US17031804202","Census Tract 8042.02, Cook County, Illinois","7735","null","356","null","6667","410","null","null","0","null","16","null","0","null","16","null","917","null","229","null","0","null","16","null","35","58","null","null","116","null","100","null","39","null","62","null","77","null","81","null",
"1400000US17031804305","Census Tract 8043.05, Cook County, Illinois","8171","null","615","null","5062","606","null","null","268","null","248","null","64","null","74","null","328","null","98","null","8","null","13","null","2171","800","null","null","270","null","155","null","0","null","16","null","270","null","155","null",
"1400000US17031804306","Census Tract 8043.06, Cook County, Illinois","5779","null","493","null","3875","541","null","null","57","null","94","null","0","null","16","null","68","null","55","null","0","null","16","null","1617","549","null","null","162","null","134","null","37","null","44","null","125","null","130","null",
"1400000US17031804308","Census Tract 8043.08, Cook County, Illinois","5402","null","434","null","3508","355","null","null","164","null","123","null","0","null","16","null","1337","null","205","null","0","null","16","null","330","143","null","null","63","null","59","null","0","null","16","null","63","null","59","null",
"1400000US17031804309","Census Tract 8043.09, Cook County, Illinois","3025","null","310","null","1616","327","null","null","44","null","22","null","0","null","11","null","407","null","183","null","0","null","11","null","945","393","null","null","13","null","14","null","6","null","10","null","7","null","10","null",
"1400000US17031804310","Census Tract 8043.10, Cook County, Illinois","9195","null","628","null","5736","642","null","null","374","null","191","null","0","null","16","null","2188","null","468","null","0","null","16","null","830","368","null","null","67","null","79","null","56","null","78","null","11","null","18","null",
"1400000US17031804311","Census Tract 8043.11, Cook County, Illinois","8263","null","546","null","4755","567","null","null","32","null","53","null","0","null","16","null","1725","null","327","null","0","null","16","null","1447","675","null","null","304","null","268","null","7","null","12","null","297","null","266","null",
"1400000US17031804403","Census Tract 8044.03, Cook County, Illinois","6580","null","580","null","4404","801","null","null","368","null","324","null","0","null","16","null","955","null","225","null","0","null","16","null","717","486","null","null","136","null","90","null","22","null","36","null","114","null","83","null",
"1400000US17031804404","Census Tract 8044.04, Cook County, Illinois","5332","null","563","null","2738","630","null","null","172","null","125","null","0","null","16","null","296","null","276","null","0","null","16","null","2036","794","null","null","90","null","92","null","27","null","33","null","63","null","85","null",
"1400000US17031804405","Census Tract 8044.05, Cook County, Illinois","3520","null","305","null","1066","390","null","null","543","null","284","null","0","null","11","null","146","null","122","null","0","null","11","null","1682","533","null","null","83","null","89","null","30","null","49","null","53","null","73","null",
"1400000US17031804406","Census Tract 8044.06, Cook County, Illinois","6203","null","535","null","2794","433","null","null","216","null","132","null","36","null","62","null","1051","null","259","null","0","null","16","null","1974","582","null","null","132","null","87","null","85","null","80","null","47","null","39","null",
"1400000US17031804505","Census Tract 8045.05, Cook County, Illinois","3501","null","306","null","2654","328","null","null","72","null","103","null","0","null","11","null","297","null","156","null","0","null","11","null","396","258","null","null","82","null","79","null","0","null","11","null","82","null","79","null",
"1400000US17031804506","Census Tract 8045.06, Cook County, Illinois","5555","null","363","null","4019","357","null","null","244","null","243","null","0","null","16","null","866","null","263","null","0","null","16","null","266","213","null","null","160","null","146","null","20","null","33","null","140","null","153","null",
